,,,Persons Aged 15+ Years,,,Children Aged 10-17 Years,,,
Region,District,Sub-county,Working,Not Working,Total,Working,Not Working,Total,
Western,Buhweju,Bihanga,5736,979,6715,1494,1295,2789,
Western,Buhweju,Bitsya,6554,1536,8090,1145,2364,3509,
Western,Buhweju,Burere,8223,1217,9440,2128,1854,3982,
Western,Buhweju,Engaju,8405,476,8881,2632,1082,3714,
Western,Buhweju,Karungu,7336,692,8028,2358,918,3276,
Western,Buhweju,Nsiika Town Council,867,725,1592,101,495,596,
Western,Buhweju,Nyakishana,7912,934,8846,2631,1159,3790,
Western,Buhweju,Rwengwe,7657,1238,8895,1349,2101,3450,
Western,Buhweju,Buhweju Total,52690,7797,60487,13838,11268,25106,
Western,Buliisa,Biiso,6620,1390,8010,1078,2424,3502,
Western,Buliisa,Buliisa,7605,507,8112,2970,431,3401,
Western,Buliisa,Buliisa Town Council,3088,529,3617,836,486,1322,
Western,Buliisa,Butiaba,10142,3487,13629,1542,2705,4247,
Western,Buliisa,Kigwera,5265,1584,6849,1060,1634,2694,
Western,Buliisa,Kihungya,4945,892,5837,1384,1431,2815,
Western,Buliisa,Ngwedo,8013,212,8225,3560,95,3655,
Western,Buliisa,Buliisa Total,45678,8601,54279,12430,9206,21636,
Western,Bundibugyo,Bukonzo,4509,650,5159,1339,950,2289,
Western,Bundibugyo,Harugale,5175,1039,6214,954,1735,2689,
Western,Bundibugyo,Nduguto,5008,564,5572,1550,869,2419,
Western,Bundibugyo,Ngamba,4344,687,5031,952,1314,2266,
Western,Bundibugyo,Ntotoro,4317,956,5273,762,1301,2063,
Western,Bundibugyo,Sindila,4908,502,5410,1622,653,2275,
Western,Bundibugyo,Kasitu,8331,1825,10156,1694,2587,4281,
Western,Bundibugyo,Bubandi,8816,2073,10889,1344,3016,4360,
Western,Bundibugyo,Bubukwanga,9140,2697,11837,2088,2439,4527,
Western,Bundibugyo,Bundibugyo Town Council,7485,3018,10503,825,2693,3518,
Western,Bundibugyo,Busaru,6186,1332,7518,1752,1259,3011,
Western,Bundibugyo,Kirumya,4847,727,5574,1010,1134,2144,
Western,Bundibugyo,Kisubba,6949,1316,8265,1876,1472,3348,
Western,Bundibugyo,Mirambi,5247,1261,6508,1677,1054,2731,
Western,Bundibugyo,Nyahuka Town Council,6621,1793,8414,1616,1779,3395,
Western,Bundibugyo,Bundibugyo Total,91883,20440,112323,21061,24255,45316,
Western,Bushenyi,Central Divison,8491,1050,9541,2355,770,3125,
Western,Bushenyi,Ishaka Divison,5792,3570,9362,352,2091,2443,
Western,Bushenyi,Nyakabirizi Division,3620,1040,4660,639,1053,1692,
Western,Bushenyi,Bitooma,5230,1510,6740,1491,1418,2909,
Western,Bushenyi,Bumbaire,6220,2024,8244,1112,2095,3207,
Western,Bushenyi,Ibaare,4955,1403,6358,650,1921,2571,
Western,Bushenyi,Kakanju,6514,5537,12051,627,4597,5224,
Western,Bushenyi,Kyabugimbi,7956,2679,10635,1604,2831,4435,
Western,Bushenyi,Kyamuhunga,15581,4202,19783,3280,4199,7479,
Western,Bushenyi,Kyeizooba,10367,5099,15466,1416,4302,5718,
Western,Bushenyi,Nyabubare,16156,3269,19425,3929,4084,8013,
Western,Bushenyi,Ruhumuro,5627,1091,6718,1004,1992,2996,
Western,Bushenyi,Bushenyi Total,96509,32474,128983,18459,31353,49812,
Western,Hoima,Buhanika,1339,1361,2700,6714,746,7460,
Western,Hoima,Buseruka,3616,3761,7377,17897,3782,21679,
Western,Hoima,Kigorobya,8819,4954,13773,29279,3766,33045,
Western,Hoima,Kigorobya Town Council,366,779,1145,2332,646,2978,
Western,Hoima,Kitoba,3192,3767,6959,15286,2765,18051,
Western,Hoima,Kyabigambire,4538,3612,8150,18837,2546,21383,
Western,Hoima,Bugambe,2462,3543,6005,12046,3780,15826,
Western,Hoima,Buhimba,2879,5248,8127,16423,3679,20102,
Western,Hoima,Kabwoya,7991,4240,12231,30732,3004,33736,
Western,Hoima,Kiziranfumbi,5048,2069,7117,15997,1547,17544,
Western,Hoima,Kyangwali,12918,4797,17715,42963,2984,45947,
Western,Hoima,Bujumbura Division,789,3600,4389,8167,4165,12332,
Western,Hoima,Busiisi Division,1104,2664,3768,8602,2047,10649,
Western,Hoima,Kahoora Divison,1229,4571,5800,15223,5335,20558,
Western,Hoima,Mparo Divison,1227,3104,4331,9583,2929,12512,
Western,Hoima,Hoima Total,57517,52070,109587,250081,43721,293802,
Western,Ibanda,Bisheshe,11433,1539,12972,2788,2443,5231,
Western,Ibanda,Ibanda Town Council,15112,3881,18993,1671,4161,5832,
Western,Ibanda,Igorora Town Council,2761,462,3223,723,505,1228,
Western,Ibanda,Ishongororo,6289,1171,7460,1109,2060,3169,
Western,Ibanda,Ishongororo Town Council,10359,1112,11471,2742,1717,4459,
Western,Ibanda,Kashangura,7168,2096,9264,1861,1979,3840,
Western,Ibanda,Keihangara,4674,1446,6120,361,2287,2648,
Western,Ibanda,Kicuzi,7575,509,8084,2303,947,3250,
Western,Ibanda,Kijongo,4506,1031,5537,724,1747,2471,
Western,Ibanda,Kikyenkye,6527,1509,8036,949,2319,3268,
Western,Ibanda,Nsasi,3419,912,4331,488,1341,1829,
Western,Ibanda,Nyabuhikye,8633,1576,10209,1473,2574,4047,
Western,Ibanda,Nyamarebe,9392,1849,11241,1185,3278,4463,
Western,Ibanda,Rukiri,12335,896,13231,4335,845,5180,
Western,Ibanda,Rushango Town Council,1605,379,1984,105,640,745,
Western,Ibanda,Ibanda Total,111788,20368,132156,22817,28843,51660,
Western,Isingiro,Endiinzi,10541,1897,12438,2197,2492,4689,
Western,Isingiro,Kashumba,9678,1535,11213,2432,2324,4756,
Western,Isingiro,Mbaare,14034,2658,16692,1461,5350,6811,
Western,Isingiro,Ngarama,14874,2660,17534,3911,3890,7801,
Western,Isingiro,Rugaaga,14320,2263,16583,3339,3336,6675,
Western,Isingiro,Rushasha,5707,502,6209,1605,809,2414,
Western,Isingiro,Nakivale Refugee Camp,19162,7725,26887,3629,8118,11747,
Western,Isingiro,Birere,8227,3238,11465,1303,2989,4292,
Western,Isingiro,Isingiro Town Council,11909,2415,14324,1543,4070,5613,
Western,Isingiro,Kaberebere Town Council,3062,482,3544,404,694,1098,
Western,Isingiro,Kabingo,9303,2248,11551,1451,3151,4602,
Western,Isingiro,Kabuyanda,8970,1468,10438,1777,2750,4527,
Western,Isingiro,Kabuyanda Town Council,6586,1972,8558,929,2387,3316,
Western,Isingiro,Kikagate,21611,2556,24167,6461,4334,10795,
Western,Isingiro,Masha,11385,2652,14037,1215,4048,5263,
Western,Isingiro,Nyakitunda,18161,1502,19663,7025,1777,8802,
Western,Isingiro,Nyamuyanja,6645,1132,7777,1296,2035,3331,
Western,Isingiro,Ruborogota,7498,1671,9169,1301,2432,3733,
Western,Isingiro,Oruchinga Refugee Camp,1271,262,1533,175,502,677,
Western,Isingiro,Isingiro Total,202944,40838,243782,43454,57488,100942,
Western,Kabale,Central Division,6123,2567,8690,239,1853,2092,
Western,Kabale,Northern Division,5121,2461,7582,243,1832,2075,
Western,Kabale,Southern Division,6635,3714,10349,310,2593,2903,
Western,Kabale,Buhara,10933,2973,13906,1986,3473,5459,
Western,Kabale,Butanda,8058,1261,9319,2180,1649,3829,
Western,Kabale,Kaharo,8842,2323,11165,1040,3094,4134,
Western,Kabale,Kamuganguzi,6843,4254,11097,1262,3180,4442,
Western,Kabale,Katuna Town Council,4307,1011,5318,802,1207,2009,
Western,Kabale,Kitumba,8451,1883,10334,1737,2221,3958,
Western,Kabale,Kyanamira,8956,2485,11441,1784,2394,4178,
Western,Kabale,Maziba,9412,2241,11653,892,3482,4374,
Western,Kabale,Rubaya,12473,1931,14404,3429,2519,5948,
Western,Kabale,Bubaare,14928,3757,18685,3091,4270,7361,
Western,Kabale,Bufundi,12256,1198,13454,3989,1597,5586,
Western,Kabale,Hamurwa,11684,2184,13868,2888,2864,5752,
Western,Kabale,Hamurwa Town Council,2535,239,2774,680,379,1059,
Western,Kabale,Ikumba,15154,873,16027,5802,676,6478,
Western,Kabale,Muko,23362,1426,24788,8014,1720,9734,
Western,Kabale,Nyamweru,7329,1500,8829,1626,2264,3890,
Western,Kabale,Ruhija,3594,1230,4824,475,1460,1935,
Western,Kabale,Bukinda,4501,1175,5676,1021,1049,2070,
Western,Kabale,Kamwezi,11373,3306,14679,1329,4024,5353,
Western,Kabale,Kashambya,11784,1973,13757,2998,2482,5480,
Western,Kabale,Muhanga Town Council,5445,1347,6792,532,1588,2120,
Western,Kabale,Rwamucucu,12523,2210,14733,2946,2789,5735,
Western,Kabale,Kabale Total,232622,51522,284144,51295,56659,107954,
Western,Kabarole,Eastern Division,7988,3442,11430,537,2699,3236,
Western,Kabarole,Southern Division,7058,2901,9959,394,2123,2517,
Western,Kabarole,Western Division,7637,3305,10942,703,2339,3042,
Western,Kabarole,Buheesi,15594,2720,18314,2638,4733,7371,
Western,Kabarole,Kabonero,8033,1218,9251,2434,1728,4162,
Western,Kabarole,Katebwa,8261,1170,9431,2180,2367,4547,
Western,Kabarole,Kibiito,8404,1335,9739,1352,2560,3912,
Western,Kabarole,Kibiito Town Council,5342,1477,6819,572,2133,2705,
Western,Kabarole,Kisomoro,10868,1333,12201,3158,1748,4906,
Western,Kabarole,Rubona Town Council,2235,870,3105,237,855,1092,
Western,Kabarole,Rwimi,7941,961,8902,1558,1955,3513,
Western,Kabarole,Rwimi Town Council,7619,811,8430,2045,1063,3108,
Western,Kabarole,Bukuuku,4495,1465,5960,430,1914,2344,
Western,Kabarole,Busoro,11853,2981,14834,1302,3651,4953,
Western,Kabarole,Hakibaale,16187,3295,19482,3266,3998,7264,
Western,Kabarole,Karago Town Council,3827,1410,5237,288,1659,1947,
Western,Kabarole,Karambi,10793,4274,15067,842,4222,5064,
Western,Kabarole,Karangura,5259,523,5782,1525,1149,2674,
Western,Kabarole,Kasenda,10769,1430,12199,3166,2019,5185,
Western,Kabarole,Kicwamba,16040,2382,18422,4521,2846,7367,
Western,Kabarole,Kiko Town Council,5183,1705,6888,268,1994,2262,
Western,Kabarole,Kijura Town Council,5120,975,6095,551,1355,1906,
Western,Kabarole,Mugusu,9984,2448,12432,1470,3514,4984,
Western,Kabarole,Ruteete,8181,1421,9602,1374,2132,3506,
Western,Kabarole,Kabarole Total,204671,45852,250523,36811,56756,93567,
Western,Kamwenge,Biguli,19087,3044,22131,16009,1439,17448,
Western,Kamwenge,Busiriba,16189,1626,17815,13238,711,13949,
Western,Kamwenge,Bwizi,16951,895,17846,13445,421,13866,
Western,Kamwenge,Kabambiro,8301,1318,9619,7073,480,7553,
Western,Kamwenge,Kahunge,19204,3882,23086,16383,1843,18226,
Western,Kamwenge,Kamwenge,11822,2278,14100,10061,1063,11124,
Western,Kamwenge,Kamwenge Town Council,9372,3046,12418,8672,1575,10247,
Western,Kamwenge,Bihanga,8676,580,9256,7037,205,7242,
Western,Kamwenge,Nkoma,17319,2992,20311,14687,1414,16101,
Western,Kamwenge,Rwamwanja Refugee Camp,20076,2461,22537,16661,789,17450,
Western,Kamwenge,Buhanda,14371,972,15343,11372,527,11899,
Western,Kamwenge,Kanara,8328,254,8582,6515,145,6660,
Western,Kamwenge,Kicheche,11557,6586,18143,11133,3331,14464,
Western,Kamwenge,Mahyoro,16731,2237,18968,14138,920,15058,
Western,Kamwenge,Ntara,14492,3590,18082,12389,1615,14004,
Western,Kamwenge,Nyabbani,12781,1625,14406,10547,578,11125,
Western,Kamwenge,Kamwenge Total,225257,37386,262643,189360,17056,206416,
Western,Kanungu,Butogota Town Council,4405,1210,5615,818,1357,2175,
Western,Kanungu,Inyanga,8534,3350,11884,770,4134,4904,
Western,Kanungu,Kambuga,3006,415,3421,747,543,1290,
Western,Kanungu,Kambuga Town Council,6798,1536,8334,1385,1704,3089,
Western,Kanungu,Kanungu Town Council,8397,1572,9969,2064,1919,3983,
Western,Kanungu,Kanyantorogo,3020,744,3764,192,1317,1509,
Western,Kanungu,Katete,11114,2918,14032,1253,4665,5918,
Western,Kanungu,Kayonza,7509,1691,9200,829,2998,3827,
Western,Kanungu,Kihihi,8509,2473,10982,1288,2875,4163,
Western,Kanungu,Kihiihi Town Council,3633,559,4192,851,863,1714,
Western,Kanungu,Kinaaba,8293,1166,9459,1947,1791,3738,
Western,Kanungu,Kirima,4392,1112,5504,432,2007,2439,
Western,Kanungu,Mpungu,4577,181,4758,1724,187,1911,
Western,Kanungu,Nyakinoni,8982,776,9758,2493,1347,3840,
Western,Kanungu,Nyamirama,3181,752,3933,767,840,1607,
Western,Kanungu,Rugyeyo,10271,1041,11312,3544,1151,4695,
Western,Kanungu,Rutenga,5864,1072,6936,1239,1650,2889,
Western,Kanungu,Kanungu Total,110485,22568,133053,22343,31348,53691,
Western,Kasese,Bulembia Division,1234,1526,2760,5270,1403,6673,
Western,Kasese,Central Division,1270,4518,5788,12687,4559,17246,
Western,Kasese,Nyamwamba Division,3231,6828,10059,24826,6580,31406,
Western,Kasese,Bwera,132,3734,3866,2334,6444,8778,
Western,Kasese,Ihandiro,1903,765,2668,5898,485,6383,
Western,Kasese,Isango,1106,706,1812,3676,525,4201,
Western,Kasese,Karambi,1713,3852,5565,10343,2895,13238,
Western,Kasese,Kisinga,5818,2551,8369,18924,2242,21166,
Western,Kasese,Kitholhu,1625,2117,3742,5822,2360,8182,
Western,Kasese,Kyarumba,4054,5015,9069,13804,5937,19741,
Western,Kasese,Kyondo,3712,1346,5058,10314,956,11270,
Western,Kasese,Mahango,3285,931,4216,8489,627,9116,
Western,Kasese,Mpondwe-Lhubiriha,6678,4105,10783,22865,4583,27448,
Western,Kasese,Munkunyu,4919,2220,7139,15709,1536,17245,
Western,Kasese,Nyakatonzi,238,981,1219,1900,704,2604,
Western,Kasese,Nyakiyumbu,4655,1896,6551,13609,1667,15276,
Western,Kasese,Bugoye,5002,2393,7395,15431,1830,17261,
Western,Kasese,Buhuhira,3458,469,3927,8003,293,8296,
Western,Kasese,Bwesumbu,2948,1340,4288,8066,917,8983,
Western,Kasese,Hima Town Council,540,1838,2378,5433,1821,7254,
Western,Kasese,Karusandara,1440,853,2293,5801,374,6175,
Western,Kasese,Katwe Kabatoro Town Council,165,889,1054,2680,929,3609,
Western,Kasese,Kilembe,2287,459,2746,5891,269,6160,
Western,Kasese,Kitswamba,3842,2154,5996,13462,1857,15319,
Western,Kasese,Kyabarungira,2133,1498,3631,6418,1417,7835,
Western,Kasese,Lake Katwe,1941,1845,3786,8900,1544,10444,
Western,Kasese,Maliba,4626,5229,9855,18555,3254,21809,
Western,Kasese,Muhokya,2685,1155,3840,8624,953,9577,
Western,Kasese,Rukoki,2422,549,2971,5847,373,6220,
Western,Kasese,Kasese Total,79062,63762,142824,289581,59334,348915,
Western,Kibaale,Birembo,12878,681,13559,3951,1189,5140,
Western,Kibaale,Bwanswa,8214,185,8399,3249,133,3382,
Western,Kibaale,Kakindo,27244,1523,28767,8266,2481,10747,
Western,Kibaale,Kakumiro  Town Council,3679,1594,5273,320,1614,1934,
Western,Kibaale,Kasambya,14076,1173,15249,4844,1329,6173,
Western,Kibaale,Kisiita,26316,1928,28244,8102,3230,11332,
Western,Kibaale,Mpasaana,10511,660,11171,2910,1605,4515,
Western,Kibaale,Nalweyo,14228,1988,16216,2277,3833,6110,
Western,Kibaale,Nkooko,16417,557,16974,6283,665,6948,
Western,Kibaale,Burora,5742,305,6047,2318,333,2651,
Western,Kibaale,Bwikara,19350,489,19839,8307,465,8772,
Western,Kibaale,Kabamba,7594,679,8273,1918,1433,3351,
Western,Kibaale,Kagadi,5548,624,6172,1495,1268,2763,
Western,Kibaale,Kagadi  Town Council,10108,2053,12161,2062,2535,4597,
Western,Kibaale,Kiryanga,11497,356,11853,3759,637,4396,
Western,Kibaale,Kyakabadiima,4124,207,4331,1561,466,2027,
Western,Kibaale,Kyanaisoke,6462,1117,7579,1391,1862,3253,
Western,Kibaale,Kyaterekera,10781,454,11235,4560,441,5001,
Western,Kibaale,Kyenzige,6850,910,7760,2453,1039,3492,
Western,Kibaale,Mabaale,11294,936,12230,3745,1674,5419,
Western,Kibaale,Mpeefu,17770,598,18368,7477,529,8006,
Western,Kibaale,Muhorro,6516,332,6848,2546,505,3051,
Western,Kibaale,Muhorro  Town Council,7967,3153,11120,1469,3256,4725,
Western,Kibaale,Ndaiga,3850,1016,4866,586,815,1401,
Western,Kibaale,Paacwa,7140,615,7755,1899,1429,3328,
Western,Kibaale,Rugashari,7288,230,7518,3011,375,3386,
Western,Kibaale,Ruteete,5362,422,5784,1577,787,2364,
Western,Kibaale,Bubango,7760,368,8128,2664,782,3446,
Western,Kibaale,Bwamiramira,8170,490,8660,2641,1008,3649,
Western,Kibaale,Kibaale Town Council,2834,643,3477,591,680,1271,
Western,Kibaale,Kyebando,10270,905,11175,2300,2094,4394,
Western,Kibaale,Matale,6931,1604,8535,2201,1506,3707,
Western,Kibaale,Mugarama,5628,203,5831,2229,174,2403,
Western,Kibaale,Nyamarunda,11896,324,12220,4405,423,4828,
Western,Kibaale,Nyamarwa,9297,173,9470,3682,115,3797,
Western,Kibaale,Kibaale Total,351592,29495,381087,113049,42710,155759,
Western,Kiruhura,Buremba,149,1383,1532,3137,1227,4364,
Western,Kiruhura,Burunga,310,1359,1669,2653,2059,4712,
Western,Kiruhura,Engari,203,1649,1852,2874,2237,5111,
Western,Kiruhura,Kanoni,155,1208,1363,3046,622,3668,
Western,Kiruhura,Kazo,284,1907,2191,4052,2034,6086,
Western,Kiruhura,Kazo Town Council,118,784,902,750,1788,2538,
Western,Kiruhura,Nkungu,225,1676,1901,2458,2895,5353,
Western,Kiruhura,Rwemikoma,326,1420,1746,2218,2547,4765,
Western,Kiruhura,Kanyaryeru,67,480,547,522,951,1473,
Western,Kiruhura,Kashongi,103,1818,1921,2509,2865,5374,
Western,Kiruhura,Kenshunga,171,1324,1495,1883,2269,4152,
Western,Kiruhura,Kikaatsi,146,1092,1238,1193,2301,3494,
Western,Kiruhura,Kinoni,167,1273,1440,1244,2737,3981,
Western,Kiruhura,Kiruhura Town Council,23,345,368,414,579,993,
Western,Kiruhura,Kitura,161,1047,1208,2809,471,3280,
Western,Kiruhura,Nyakashashara,199,781,980,1763,1039,2802,
Western,Kiruhura,Sanga,54,471,525,841,586,1427,
Western,Kiruhura,Sanga Town Council,42,580,622,922,718,1640,
Western,Kiruhura,Kiruhura Total,2903,20597,23500,35288,29925,65213,
Western,Kiryandongo,Bweyale Town Council,11459,3987,15446,2867,4061,6928,
Western,Kiryandongo,Kigumba,18972,1904,20876,7426,2250,9676,
Western,Kiryandongo,Kigumba Town Council,7192,2440,9632,802,3190,3992,
Western,Kiryandongo,Kiryandongo,36375,2591,38966,13433,3592,17025,
Western,Kiryandongo,Kiryandongo Refugee Camp,1686,4234,5920,343,3130,3473,
Western,Kiryandongo,Kiryandongo Town Council,2483,702,3185,491,704,1195,
Western,Kiryandongo,Masindi Port,4097,474,4571,1399,484,1883,
Western,Kiryandongo,Mutunda,26243,5048,31291,6486,6376,12862,
Western,Kiryandongo,Kiryandongo Total,108507,21380,129887,33247,23787,57034,
Western,Kisoro,Central Division,2256,711,2967,140,680,820,
Western,Kisoro,Northern Division,2103,966,3069,226,896,1122,
Western,Kisoro,Southern Division,2214,924,3138,221,974,1195,
Western,Kisoro,Bukimbiri,7152,687,7839,2470,855,3325,
Western,Kisoro,Busanza,7514,1544,9058,1506,2342,3848,
Western,Kisoro,Chahi,6702,2821,9523,1298,3006,4304,
Western,Kisoro,Kanaba,7336,667,8003,2769,903,3672,
Western,Kisoro,Kirundo,7261,2679,9940,1364,2804,4168,
Western,Kisoro,Muramba,15378,2713,18091,4651,3393,8044,
Western,Kisoro,Murora,8407,953,9360,2658,1305,3963,
Western,Kisoro,Nyabwishenya,4971,1881,6852,951,2503,3454,
Western,Kisoro,Nyakabande,9885,3151,13036,1646,3818,5464,
Western,Kisoro,Nyakinama,6773,3129,9902,770,3417,4187,
Western,Kisoro,Nyarubuye,7566,2076,9642,759,3191,3950,
Western,Kisoro,Nyarusiza,12456,2268,14724,3233,3354,6587,
Western,Kisoro,Nyundo,5045,1494,6539,1521,1324,2845,
Western,Kisoro,Kisoro Total,113019,28664,141683,26183,34765,60948,
Western,Kyegegwa,Hapuuyo,6812,2310,9122,20629,1199,21828,
Western,Kyegegwa,Kabweza Kyegegwa,1850,3183,5033,10904,1724,12628,
Western,Kyegegwa,Kakabara,5358,4104,9462,21960,1953,23913,
Western,Kyegegwa,Kasule,1642,3089,4731,10387,1275,11662,
Western,Kyegegwa,Kyegegwa Town Council,1356,2222,3578,7819,1967,9786,
Western,Kyegegwa,Mpara,2953,4609,7562,16354,2469,18823,
Western,Kyegegwa,Ruyonza,1786,3667,5453,12361,2248,14609,
Western,Kyegegwa,Rwentuha,3799,3391,7190,16389,1757,18146,
Western,Kyegegwa,Kyaka  Ii  Refugee Camp,2589,925,3514,7602,652,8254,
Western,Kyegegwa,Kyegegwa Total,28145,27500,55645,124405,15244,139649,
Western,Kyenjojo,Bufunjo,19387,4387,23774,5658,4295,9953,
Western,Kyenjojo,Bugaaki,11528,6270,17798,748,5317,6065,
Western,Kyenjojo,Butiiti,7536,2235,9771,1179,2742,3921,
Western,Kyenjojo,Butunduzi,5672,374,6046,1945,517,2462,
Western,Kyenjojo,Butunduzi Town Council,5588,1355,6943,729,2019,2748,
Western,Kyenjojo,Katooke,14764,2418,17182,3154,4119,7273,
Western,Kyenjojo,Katooke Town Council,6442,1068,7510,1478,1494,2972,
Western,Kyenjojo,Kigaraale,10089,1517,11606,1615,3156,4771,
Western,Kyenjojo,Kihuura,12590,2056,14646,2072,3744,5816,
Western,Kyenjojo,Kisojo,10189,832,11021,3418,1107,4525,
Western,Kyenjojo,Kyarusozi,23132,4925,28057,5135,6147,11282,
Western,Kyenjojo,Kyarusozi  Town Council,5958,1586,7544,860,1446,2306,
Western,Kyenjojo,Kyenjojo Town Council,10464,2451,12915,1571,2878,4449,
Western,Kyenjojo,Nyabuharwa,10604,1746,12350,2338,2779,5117,
Western,Kyenjojo,Nyankwanzi,11199,1930,13129,2096,3548,5644,
Western,Kyenjojo,Nyantungo,9952,2315,12267,1952,3108,5060,
Western,Kyenjojo,Kyenjojo Total,175094,37465,212559,35948,48416,84364,
Western,Masindi,Kigulya Division,5545,1083,6628,798,1741,2539,
Western,Masindi,Karujubu Division,10517,1816,12333,2810,1817,4627,
Western,Masindi,Nyangahya Division,5597,1453,7050,991,1559,2550,
Western,Masindi,Central Division,14848,7150,21998,782,6553,7335,
Western,Masindi,Budongo,22129,4574,26703,5193,5191,10384,
Western,Masindi,Bwijanga,22519,4962,27481,2769,7576,10345,
Western,Masindi,Kimengo,5417,2074,7491,535,1909,2444,
Western,Masindi,Miirya,9809,902,10711,2581,1442,4023,
Western,Masindi,Pakanyi,26563,2644,29207,7027,4816,11843,
Western,Masindi,Masindi Total,122944,26658,149602,23486,32604,56090,
Western,Mbarara,Kakoba Division,22485,11150,33635,1227,6107,7334,
Western,Mbarara,Kamukuzi Division,14976,7058,22034,662,4320,4982,
Western,Mbarara,Nyamitanga Division,10714,3215,13929,879,2539,3418,
Western,Mbarara,Biharwe Division,10855,1225,12080,3020,1344,4364,
Western,Mbarara,Kakiika Division,8985,3049,12034,918,2716,3634,
Western,Mbarara,Nyakayojo Division,19236,1860,21096,6001,1449,7450,
Western,Mbarara,Bubaare,7888,4859,12747,721,4026,4747,
Western,Mbarara,Bukiro,6431,1179,7610,1361,1699,3060,
Western,Mbarara,Kagongi,8513,2649,11162,1042,3542,4584,
Western,Mbarara,Kashare,9450,2489,11939,864,3976,4840,
Western,Mbarara,Rubaya,7864,2157,10021,531,3355,3886,
Western,Mbarara,Rubindi,9706,3155,12861,1163,3723,4886,
Western,Mbarara,Rwanyamahembe,11807,3198,15005,2144,3315,5459,
Western,Mbarara,Bugamba,14143,4023,18166,2646,4926,7572,
Western,Mbarara,Mwizi,15297,1504,16801,5037,2290,7327,
Western,Mbarara,Ndeija,14958,2186,17144,3828,2653,6481,
Western,Mbarara,Rugando,12439,2610,15049,2311,3310,5621,
Western,Mbarara,Mbarara Total,205747,57566,263313,34355,55290,89645,
Western,Mitooma,Bitereko,3402,2744,6146,11902,2321,14223,
Western,Mitooma,Kabira,850,1706,2556,3579,2216,5795,
Western,Mitooma,Kanyabwanga,2250,1465,3715,8283,844,9127,
Western,Mitooma,Kashenshero,1139,1427,2566,5010,1387,6397,
Western,Mitooma,Kashenshero Town Council,680,386,1066,2849,358,3207,
Western,Mitooma,Katenga,1292,2773,4065,6914,2717,9631,
Western,Mitooma,Kiyanga,963,2964,3927,8470,1418,9888,
Western,Mitooma,Mayanga,364,2157,2521,3742,1932,5674,
Western,Mitooma,Mitooma,782,3488,4270,6126,3715,9841,
Western,Mitooma,Mitooma Town Council,137,1053,1190,2263,1050,3313,
Western,Mitooma,Mutara,1649,3605,5254,8712,3463,12175,
Western,Mitooma,Rurehe,1368,1443,2811,4992,1156,6148,
Western,Mitooma,Mitooma Total,14876,25211,40087,72842,22577,95419,
Western,Ntoroko,Butungama,2893,1841,4734,579,1566,2145,
Western,Ntoroko,Bweramule,1983,1198,3181,170,1211,1381,
Western,Ntoroko,Kanara,3739,659,4398,742,746,1488,
Western,Ntoroko,Kanara Town Council,3506,975,4481,345,872,1217,
Western,Ntoroko,Karugutu,2806,239,3045,911,358,1269,
Western,Ntoroko,Karugutu Town Council,4615,862,5477,1210,923,2133,
Western,Ntoroko,Kibuuku Town Council,935,259,1194,146,279,425,
Western,Ntoroko,Nombe,3550,234,3784,1402,335,1737,
Western,Ntoroko,Rwebisengo,1210,1253,2463,90,983,1073,
Western,Ntoroko,Rwebisengo Town Council,1071,779,1850,54,586,640,
Western,Ntoroko,Ntoroko Total,26308,8299,34607,5649,7859,13508,
Western,Ntungamo,Central Division,3018,1073,4091,299,968,1267,
Western,Ntungamo,Eastern Division,2764,698,3462,255,783,1038,
Western,Ntungamo,Western Division,2138,681,2819,194,564,758,
Western,Ntungamo,Bwongyera,16503,966,17469,7278,879,8157,
Western,Ntungamo,Ihunga,10313,3547,13860,1869,3890,5759,
Western,Ntungamo,Kibatsi,7534,2513,10047,899,3270,4169,
Western,Ntungamo,Nyabihoko,10444,875,11319,3910,1045,4955,
Western,Ntungamo,Rwashamaire Town Council,2958,1014,3972,493,937,1430,
Western,Ntungamo,Itojo,9168,3141,12309,919,3877,4796,
Western,Ntungamo,Kitwe Town Council,7252,1944,9196,571,3079,3650,
Western,Ntungamo,Ntungamo,13310,3034,16344,3205,3389,6594,
Western,Ntungamo,Nyakyera,15053,3870,18923,2877,5375,8252,
Western,Ntungamo,Ruhaama,18024,3159,21183,3987,4679,8666,
Western,Ntungamo,Rukoni East,10165,1605,11770,2662,2348,5010,
Western,Ntungamo,Rukoni West,5948,2486,8434,385,3236,3621,
Western,Ntungamo,Rweikiniro,15052,3005,18057,2316,5417,7733,
Western,Ntungamo,Kayonza,12978,2011,14989,2927,2648,5575,
Western,Ntungamo,Ngoma,13177,1363,14540,3632,1958,5590,
Western,Ntungamo,Rubaare,10117,3238,13355,1722,3591,5313,
Western,Ntungamo,Rubaare Town Council,5595,1971,7566,674,1719,2393,
Western,Ntungamo,Rugarama,12753,3506,16259,2608,4077,6685,
Western,Ntungamo,Ntungamo Total,204264,45700,249964,43682,57729,101411,
Western,Rubirizi,Katanda,8661,149,8810,4086,87,4173,
Western,Rubirizi,Katerera,5082,103,5185,2199,38,2237,
Western,Rubirizi,Katerera Town Council,4685,85,4770,1791,66,1857,
Western,Rubirizi,Katunguru,2332,88,2420,450,96,546,
Western,Rubirizi,Kichwamba,8285,327,8612,3472,315,3787,
