,,,Orphanhood Status(Below 18 Years),,Disability (2 years and above),,Disability (2-17 Years),,
Region,District,Sub-county,Orphan,NonOrphan,Has a disability,Has no disability,Has a disability,Has no disability,
Western,Kabarole,Mugusu,1343,11576,2996,19183,564,10854,
Western,Kabarole,Ruteete,948,8555,2016,14776,319,8017,
Western,Kabarole,Kabarole Total,24445,220327,53263,380286,9349,205228,
Western,Kamwenge,Biguli,1337,17371,4066,27496,932,15236,
Western,Kamwenge,Busiriba,1501,14298,3583,22167,759,12946,
Western,Kamwenge,Bwizi,1295,15318,2567,23857,610,13673,
Western,Kamwenge,Kabambiro,851,8010,2235,11934,478,7095,
Western,Kamwenge,Kahunge,1789,18472,3717,29773,927,16728,
Western,Kamwenge,Kamwenge,1182,11068,2707,17588,493,10119,
Western,Kamwenge,Kamwenge Town council,858,8450,1837,15263,348,7687,
Western,Kamwenge,Bihanga,718,7193,1515,11755,349,6556,
Western,Kamwenge,Nkoma,1367,16383,2696,26458,533,14545,
Western,Kamwenge,Rwamwanja Refugee Camp,2279,21872,5384,30518,1270,18735,
Western,Kamwenge,Buhanda,1045,12533,2937,19459,577,11414,
Western,Kamwenge,Kanara,688,7105,935,11635,227,6501,
Western,Kamwenge,Kicheche,1110,12571,2539,22211,486,11711,
Western,Kamwenge,Mahyoro,1353,14289,3922,22976,679,12881,
Western,Kamwenge,Ntara,1218,15087,2953,23645,545,13829,
Western,Kamwenge,Nyabbani,1065,11280,2083,18568,362,10683,
Western,Kamwenge,Kamwenge Total,19656,211300,45676,335303,9575,190339,
Western,Kanungu,Butogota Town Council,481,4914,500,9132,109,4657,
Western,Kanungu,Inyanga,1262,10480,3136,17701,566,10032,
Western,Kanungu,Kambuga,413,2339,493,4939,46,2438,
Western,Kanungu,Kambuga Town Council,650,6616,2259,11434,324,6194,
Western,Kanungu,Kanungu Town Council,953,9308,2307,15409,353,8714,
Western,Kanungu,Kanyantorogo,361,3455,892,5809,169,3228,
Western,Kanungu,Katete,1192,13982,3088,22566,544,12916,
Western,Kanungu,Kayonza,840,9005,3219,13474,825,7850,
Western,Kanungu,Kihihi,1082,8980,1637,16693,347,8525,
Western,Kanungu,Kihiihi Town Council,304,4524,829,7013,143,4049,
Western,Kanungu,Kinaaba,867,8363,1626,14902,306,8002,
Western,Kanungu,Kirima,486,6678,1534,9402,246,5921,
Western,Kanungu,Mpungu,504,4133,1188,7035,229,3888,
Western,Kanungu,Nyakinoni,870,9316,2002,15508,343,8614,
Western,Kanungu,Nyamirama,392,3631,1191,5763,236,3319,
Western,Kanungu,Rugyeyo,1206,9814,2017,17567,303,9584,
Western,Kanungu,Rutenga,618,6969,1413,11232,205,6449,
Western,Kanungu,Kanungu Total,12481,122507,29331,205579,5294,114380,
Western,Kasese,Bulembia Division,377,6923,957,11155,172,6163,
Western,Kasese,Central Division,887,14631,1692,26790,383,12958,
Western,Kasese,Nyamwamba Division,1894,25722,4269,47144,854,22792,
Western,Kasese,Bwera,411,9575,1690,14554,381,8340,
Western,Kasese,Ihandiro,272,7439,1395,10781,225,6401,
Western,Kasese,Isango,261,4344,884,6694,214,3795,
Western,Kasese,Karambi,706,13708,2287,21671,534,12082,
Western,Kasese,Kisinga,962,20161,3697,33663,844,18042,
Western,Kasese,Kitholhu,437,9409,1384,14219,244,8348,
Western,Kasese,Kyarumba,839,24090,2702,36030,646,21025,
Western,Kasese,Kyondo,487,13707,2035,20126,601,11794,
Western,Kasese,Mahango,438,11553,1199,17064,274,10114,
Western,Kasese,Mpondwe-Lhubiriha,1479,25278,5322,41760,1587,21843,
Western,Kasese,Munkunyu,821,17813,3266,28012,675,15643,
Western,Kasese,Nyakatonzi,170,2590,305,4428,19,2477,
Western,Kasese,Nyakiyumbu,811,16529,2705,25477,612,14421,
Western,Kasese,Bugoye,1058,19365,2632,30115,535,17213,
Western,Kasese,Buhuhira,434,10721,1733,15111,284,9432,
Western,Kasese,Bwesumbu,533,12807,1619,17618,363,11096,
Western,Kasese,Hima Town Council,444,6022,1405,10708,369,5291,
Western,Kasese,Karusandara,478,5968,1247,9760,270,5251,
Western,Kasese,Katwe Kabatoro Town Council,258,2678,644,5170,104,2462,
Western,Kasese,Kilembe,330,7631,675,11528,142,6722,
Western,Kasese,Kitswamba,947,14950,3033,24315,384,13640,
Western,Kasese,Kyabarungira,420,9283,1189,14070,207,8410,
Western,Kasese,Lake Katwe,525,9617,1361,16687,211,8555,
Western,Kasese,Maliba,1245,25805,5006,37518,1500,22243,
Western,Kasese,Muhokya,548,10278,1776,15920,309,9006,
Western,Kasese,Rukoki,277,8318,922,11962,175,7306,
Western,Kasese,Kasese Total,18749,366915,59031,580050,13118,322865,
Western,Kibaale,Birembo,1079,14177,2635,22292,587,12332,
Western,Kibaale,Bwanswa,668,8473,2425,12594,562,7219,
Western,Kibaale,Kakindo,2222,30832,5668,47511,1324,26345,
Western,Kibaale,Kakumiro  Town Council,409,4687,1132,7798,225,4136,
Western,Kibaale,Kasambya,1315,16638,4046,24512,1016,14197,
Western,Kibaale,Kisiita,2346,30944,5469,47617,1269,27086,
Western,Kibaale,Mpasaana,962,12186,1747,19209,379,10737,
Western,Kibaale,Nalweyo,1279,16812,3241,26322,852,14388,
Western,Kibaale,Nkooko,1277,18538,3407,28120,756,15989,
Western,Kibaale,Burora,552,7315,1804,10063,453,6187,
Western,Kibaale,Bwikara,2394,22063,4381,33891,978,20132,
Western,Kibaale,Kabamba,761,9229,2176,13532,561,7959,
Western,Kibaale,Kagadi,644,7174,1970,9923,550,6086,
Western,Kibaale,Kagadi  Town Council,1027,11052,2047,18933,448,10001,
Western,Kibaale,Kiryanga,856,12776,3163,18780,938,10413,
Western,Kibaale,Kyakabadiima,382,5438,1125,7513,316,4644,
Western,Kibaale,Kyanaisoke,647,8096,1927,12024,476,7015,
Western,Kibaale,Kyaterekera,1055,13420,2472,19619,570,11790,
Western,Kibaale,Kyenzige,798,8607,1342,13328,334,7752,
Western,Kibaale,Mabaale,1104,13388,2270,20715,501,11980,
Western,Kibaale,Mpeefu,1797,21066,2640,32726,554,18909,
Western,Kibaale,Muhorro,812,7799,1731,11486,424,6909,
Western,Kibaale,Muhorro  Town Council,1089,11748,1820,18749,341,10708,
Western,Kibaale,Ndaiga,410,3741,1029,6867,190,3341,
Western,Kibaale,Paacwa,723,8554,1400,13240,377,7585,
Western,Kibaale,Rugashari,821,8482,3217,11269,1088,6965,
Western,Kibaale,Ruteete,566,6192,1281,9602,211,5615,
Western,Kibaale,Bubango,674,10022,1902,14266,464,8588,
Western,Kibaale,Bwamiramira,816,9775,724,15795,207,8803,
Western,Kibaale,Kibaale Town Council,256,3008,639,5195,147,2637,
Western,Kibaale,Kyebando,820,12687,3051,18068,872,10424,
Western,Kibaale,Matale,643,9775,2187,14025,586,8311,
Western,Kibaale,Mugarama,490,6308,1100,9742,259,5533,
Western,Kibaale,Nyamarunda,899,13212,2056,20504,493,11387,
Western,Kibaale,Nyamarwa,685,10936,2568,15537,759,9014,
Western,Kibaale,Kibaale Total,33278,415150,81792,631367,20067,361117,
Western,Kiruhura,Buremba,923,10590,2325,17210,460,9682,
Western,Kiruhura,Burunga,1030,11185,4012,18099,669,9891,
Western,Kiruhura,Engari,1180,12280,4088,19147,764,11037,
Western,Kiruhura,Kanoni,857,8262,2327,13402,406,7638,
Western,Kiruhura,Kazo,1275,14501,3434,23609,525,13475,
Western,Kiruhura,Kazo Town Council,681,5710,1452,10487,239,5375,
Western,Kiruhura,Nkungu,1116,12999,4026,19096,790,11472,
Western,Kiruhura,Rwemikoma,993,11243,2952,18771,497,10192,
Western,Kiruhura,Kanyaryeru,326,3515,1062,5856,124,3205,
Western,Kiruhura,Kashongi,1258,12166,3335,20061,646,11160,
Western,Kiruhura,Kenshunga,1024,10461,3573,19454,575,9193,
Western,Kiruhura,Kikaatsi,697,8653,3028,14422,580,7438,
Western,Kiruhura,Kinoni,877,9445,2229,16972,352,8624,
Western,Kiruhura,Kiruhura Town Council,221,2443,721,4199,141,2166,
Western,Kiruhura,Kitura,868,7609,1543,12918,321,7147,
Western,Kiruhura,Nyakashashara,731,6651,2780,12128,417,5924,
Western,Kiruhura,Sanga,304,3242,853,5727,112,3003,
Western,Kiruhura,Sanga Town Council,356,4041,840,7447,145,3588,
Western,Kiruhura,Kiruhura Total,14717,154996,44580,259005,7763,140210,
Western,Kiryandongo,Bweyale Town Council,1806,15784,2698,25818,848,14540,
Western,Kiryandongo,Kigumba,1789,24336,6149,34270,1874,20730,
Western,Kiryandongo,Kigumba Town Council,864,8991,2224,14662,638,7983,
Western,Kiryandongo,Kiryandongo,2929,43583,8002,65740,2482,37633,
Western,Kiryandongo,Kiryandongo Refugee Camp,1652,7190,1862,10829,574,7252,
Western,Kiryandongo,Kiryandongo Town Council,265,2537,842,4332,247,2173,
Western,Kiryandongo,Masindi Port,419,4477,959,7282,273,3989,
Western,Kiryandongo,Mutunda,2591,32791,8712,48708,2450,27810,
Western,Kiryandongo,Kiryandongo Total,12315,139689,31448,211641,9386,122110,
Western,Kisoro,Central Division,241,1997,358,4198,48,1830,
Western,Kisoro,Northern Division,258,2413,670,4377,137,2239,
Western,Kisoro,Southern Division,228,2666,677,4582,102,2450,
Western,Kisoro,Bukimbiri,579,8092,2061,12250,387,7224,
Western,Kisoro,Busanza,867,9201,2805,13689,526,8218,
Western,Kisoro,Chahi,872,9917,1890,15547,206,9250,
Western,Kisoro,Kanaba,571,8805,1243,13701,167,8046,
Western,Kisoro,Kirundo,877,10459,2253,16110,559,9266,
Western,Kisoro,Muramba,1655,19188,3773,29727,607,17533,
Western,Kisoro,Murora,649,10496,2494,15218,405,9258,
Western,Kisoro,Nyabwishenya,685,8590,1621,12242,252,7828,
Western,Kisoro,Nyakabande,1064,11999,4447,18266,1034,10592,
Western,Kisoro,Nyakinama,833,10292,2467,15887,257,9546,
Western,Kisoro,Nyarubuye,785,9775,1678,15826,201,8954,
Western,Kisoro,Nyarusiza,1196,16436,2729,25267,373,15100,
Western,Kisoro,Nyundo,359,7219,972,11212,106,6496,
Western,Kisoro,Kisoro Total,11719,147545,32138,228099,5367,133830,
Western,Kyegegwa,Hapuuyo,1934,23990,4910,36304,1160,20969,
Western,Kyegegwa,Kabweza Kyegegwa,1184,12958,3746,19475,953,11201,
Western,Kyegegwa,Kakabara,2159,25297,4770,39515,1188,22143,
Western,Kyegegwa,Kasule,995,12715,3052,18737,637,11037,
Western,Kyegegwa,Kyegegwa Town Council,903,8843,1821,15023,406,7904,
Western,Kyegegwa,Mpara,1546,20046,4736,30332,1182,17383,
Western,Kyegegwa,Ruyonza,976,14292,3883,22040,931,12111,
Western,Kyegegwa,Rwentuha,1518,18864,3582,29769,740,16696,
Western,Kyegegwa,Kyaka  Ii  Refugee Camp,1567,8652,2694,13252,622,8114,
Western,Kyegegwa,Kyegegwa Total,12782,145657,33194,224447,7819,127558,
Western,Kyenjojo,Bufunjo,2364,26805,3892,41728,824,23990,
Western,Kyenjojo,Bugaaki,1908,14031,4196,25325,630,13281,
Western,Kyenjojo,Butiiti,1163,8879,1733,15535,295,8558,
Western,Kyenjojo,Butunduzi,569,6722,1650,9885,352,5886,
Western,Kyenjojo,Butunduzi Town Council,594,7425,1187,11821,202,6714,
Western,Kyenjojo,Katooke,1992,18475,4127,28342,712,16947,
Western,Kyenjojo,Katooke Town Council,766,7315,1795,11698,314,6666,
Western,Kyenjojo,Kigaraale,1041,12826,1829,20199,428,11525,
Western,Kyenjojo,Kihuura,1340,15052,3084,23776,665,13465,
Western,Kyenjojo,Kisojo,1263,11245,2163,18139,479,10266,
Western,Kyenjojo,Kyarusozi,2873,30154,7875,45033,1851,26473,
Western,Kyenjojo,Kyarusozi  Town Council,585,5754,1338,10895,256,5222,
Western,Kyenjojo,Kyenjojo Town Council,1322,10314,1971,19485,373,9806,
Western,Kyenjojo,Nyabuharwa,1326,12726,2250,20728,479,11826,
Western,Kyenjojo,Nyankwanzi,1499,14404,4183,20807,1190,12477,
Western,Kyenjojo,Nyantungo,1318,12269,2212,20134,599,11196,
Western,Kyenjojo,Kyenjojo Total,21923,214396,45485,343530,9649,194298,
Western,Masindi,Kigulya Division,465,6262,885,10806,211,5638,
Western,Masindi,Karujubu Division,925,11347,3706,17708,929,9731,
Western,Masindi,Nyangahya Division,534,6261,1324,10880,306,5680,
