Region,District,Sub-county,Attending School,Not attending,Never  been to School,Primary,Secondary and above,Total,Literate,Not Literate
Eastern,Manafwa,Bukhofu,1560,208,317,2354,896,3567,1935,1102
Eastern,Manafwa,Bukiabi,2592,149,417,3480,1415,5312,3319,1307
Eastern,Manafwa,Bukokho,4319,320,681,6036,2211,8928,5103,2589
Eastern,Manafwa,Bukusu,2515,279,577,4010,1586,6173,3388,1907
Eastern,Manafwa,Bumbo,3708,351,545,5007,2345,7897,4787,1946
Eastern,Manafwa,Bumwoni,4149,343,666,5595,3052,9313,5501,2544
Eastern,Manafwa,Bunabwana,2473,313,724,3600,1477,5801,2981,2001
Eastern,Manafwa,Bupoto,2885,279,584,4404,1779,6767,3872,1934
Eastern,Manafwa,Busukuya,2705,274,653,4174,1539,6366,3078,2322
Eastern,Manafwa,Butiru,3532,397,852,5257,2617,8726,4619,2867
Eastern,Manafwa,Butta,820,81,211,1216,656,2083,1234,530
Eastern,Manafwa,Buwabwala,1491,82,344,2131,1019,3494,2070,941
Eastern,Manafwa,Buwagogo,1464,136,286,2176,1055,3517,2036,970
Eastern,Manafwa,Kaato,1905,138,540,2695,1658,4893,2768,1432
Eastern,Manafwa,Khabutoola,3056,259,511,4866,2340,7717,4524,1987
Eastern,Manafwa,Lwakhakha Town Council,1956,114,367,2531,1641,4539,2908,987
Eastern,Manafwa,Magale,4274,368,1041,5788,3338,10167,5614,3051
Eastern,Manafwa,Manafwa Town Council,2576,134,548,3573,3159,7280,4708,1564
Eastern,Manafwa,Mukoto,1661,172,440,2709,809,3958,2063,1362
