district,id,pop,dist_to_cl
AGAGO,"82737","22",122410.440619160435745
PADER,"107485","13",88014.006114404794062
NWOYA,"143571","3",31799.033368511543813
LAMWO,"51813","3",64790.934410773435957
AGAGO,"100270","6",131752.456469632743392
PADER,"97178","12",88593.419460489240009
AMURU,"118830","10",42105.037332788131607
AMURU,"104397","10",75247.114812764004455
GULU,"113677","6",16377.065113000926431
PADER,"72438","31",68583.129861539680860
AGAGO,"63160","7",129960.786396377865458
GULU,"95122","6",29711.485900267616671
AGAGO,"80688","33",115474.300691503667622
PADER,"166263","10",79633.063491958979284
GULU,"155959","4",22332.347211811844318
GULU,"136371","4",21824.428595061050146
LAMWO,"13685","6",78587.736541790931369
KITGUM,"45650","8",87600.574913401767844
LAMWO,"30187","3",76918.606458229420241
NWOYA,"167310","3",48718.515228511510941
NWOYA,"153910","3",47706.466606962487276
NWOYA,"167317","3",37313.546792440793070
PADER,"84839","20",41308.688342721550725
LAMWO,"24014","7",75118.468027150724083
LAMWO,"14736","7",80984.379213104970404
LAMWO,"2366","10",121561.995676748600090
KITGUM,"51856","8",87516.744676561138476
KITGUM,"27113","4",105259.547785803908482
PADER,"116813","12",74836.127040831677732
PADER,"70418","6",79624.965285362923169
PADER,"73512","6",79397.473802482927567
PADER,"87947","15",75544.122385825001402
LAMWO,"61143","3",65252.285018287526327
AMURU,"114756","10",48739.190330634097336
AGAGO,"112697","8",115757.541538312798366
LAMWO,"34341","3",70352.839994855210534
AGAGO,"154970","26",113939.770443991947104
KITGUM,"47747","8",86582.700127929449081
GULU,"98267","3",22996.928613581301761
LAMWO,"39501","3",67413.474911452402011
KITGUM,"44658","8",88218.852695723238867
NWOYA,"163223","3",43948.030385397694772
LAMWO,"19915","13",89763.595520666029188
GULU,"133325","26",4714.183300458902522
GULU,"126114","23",467.394248901078299
GULU,"111681","15",7432.197452875620002
LAMWO,"17861","7",80115.826798596113804
AMURU,"101373","10",46927.335807142975682
KITGUM,"28173","4",109922.399829108428094
LAMWO,"14772","6",77829.133836031614919
NWOYA,"158082","3",37593.286065934909857
AGAGO,"72510","7",131953.558952411462087
GULU,"96226","3",23532.542861496862315
AGAGO,"79733","7",128293.340000826734467
KITGUM,"37462","4",131431.005536347714951
LAMWO,"17874","13",94516.296855560882250
GULU,"145718","6",40679.097628184841597
PADER,"89016","9",68914.798080604407005
PADER,"76649","6",78348.101466273597907
NWOYA,"178723","3",42970.811873262231529
AMURU,"112740","10",50192.934186413891439
KITGUM,"11702","7",160956.675747041881550
PADER,"128207","12",73501.235659884798224
PADER,"78719","6",91313.348876698670210
KITGUM,"23047","4",106852.816230116848601
AMURU,"39544","11",65115.071548298641574
GULU,"155017","6",47734.116586760377686
KITGUM,"55010","8",86278.220925254165195
GULU,"170482","5",29619.624000349773269
AGAGO,"149863","27",97476.111411514692008
GULU,"152956","6",36781.646447036844620
NWOYA,"164299","3",43576.444037636727444
PADER,"105538","13",88345.831499535648618
LAMWO,"11720","8",99149.282326226166333
LAMWO,"10689","13",97447.485719199496089
GULU,"169463","5",27227.076970878326392
KITGUM,"33372","4",105220.641509903827682
NWOYA,"171526","3",42864.634119411079155
PADER,"112762","9",71567.519712402703590
NWOYA,"162250","1",79223.350027467968175
AMURU,"88020","42",30134.358184507971600
AGAGO,"136477","13",129974.656267612765078
NWOYA,"167407","1",53502.120856933594041
AGAGO,"82866","22",122485.642433283544960
AMURU,"105551","10",76489.332059266569559
LAMWO,"28228","13",91631.115924286976224
LAMWO,"6578","5",113232.157318191064405
AMURU,"116896","10",42164.196433392891777
LAMWO,"3487","5",120302.699680224424810
GULU,"91122","3",27743.612071160368941
NWOYA,"139579","3",34037.705477868308662
KITGUM,"29264","7",151100.962551326607354
KITGUM,"10708","7",146490.313624935806729
AMURU,"55042","11",59039.375637185279629
KITGUM,"52980","10",108182.028155340682133
